ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.8662,-0.3099,9.848,-0.8459,-0.315,9.765,0.0125,-0.005,0.0036,0.0003,-0.0005,-0.0005,30,-40.58,-27.64,-42.43,123.3,1.84,4.95,5,21.195,,,,NaN,,,,0 / 0,141507,2018-08-11 08:40:48:445
-0.8495,-0.3374,9.8671,-0.8468,-0.3157,9.7649,-0.0021,-0.0011,0.0075,0.0015,-0.0005,-0.0005,30,-41.09,-27.38,-40.36,122.44,1.85,4.96,5,22.024,,,,NaN,,,,0 / 0,142007,2018-08-11 08:40:48:945
-0.8662,-0.3242,9.8552,-0.85,-0.3156,9.7646,-0.0105,-0.0016,-0.0033,0.0003,0.0007,-0.0005,30,-40.75,-27.66,-41.55,123.3,1.84,4.98,5,21.571,,,,NaN,,,,0 / 0,142507,2018-08-11 08:40:49:445
-0.8686,-0.3254,9.8576,-0.8489,-0.3156,9.7647,-0.0104,-0.0076,0.0022,0.0003,-0.0005,-0.0005,30,-40.75,-27.66,-41.55,123.3,1.84,4.96,5,21.542,,,,NaN,,,,0 / 0,143007,2018-08-11 08:40:49:945
-0.8507,-0.3147,9.8564,-0.8458,-0.3147,9.765,0.0033,0.0031,-0.0032,0.0015,-0.0005,-0.0005,30,-40.56,-26.73,-43.01,122.37,1.84,4.95,5,23.396,,,,NaN,,,,0 / 0,143507,2018-08-11 08:40:50:445
-0.8507,-0.3194,9.8671,-0.8466,-0.3151,9.765,-0.0049,-0.0054,-0.0053,0.0003,0.0007,-0.0005,30,-41.1,-27.33,-42.72,122.37,1.84,4.95,5,22.42,,,,NaN,,,,0 / 0,144007,2018-08-11 08:40:50:945
-0.8662,-0.3194,9.8504,-0.8491,-0.3132,9.7648,-0.0016,0.0062,-0.0076,0.0003,-0.0005,-0.0017,30,-40.75,-27.66,-41.55,123.3,1.84,4.97,5,23.733,,,,NaN,,,,0 / 0,144507,2018-08-11 08:40:51:445
-0.8423,-0.3063,9.8683,-0.8455,-0.3152,9.765,0.0043,0.0099,0.0039,0.0003,-0.0005,-0.0005,30,-42.03,-29.43,-41.87,123.61,1.85,4.95,5,24.778,,,,NaN,,,,0 / 0,145007,2018-08-11 08:40:51:945
-0.8471,-0.323,9.8552,-0.8464,-0.3119,9.7651,-0.0086,-0.0104,-0.0023,0.0003,-0.0005,-0.0017,30,-40.93,-27.96,-41.26,123.31,1.82,4.95,5,22.962,,,,NaN,,,,0 / 0,145507,2018-08-11 08:40:52:445
-0.8363,-0.3182,9.8731,-0.8461,-0.3147,9.765,-0.01,-0.0002,-0.0146,0.0003,-0.0005,-0.0005,30,-40.74,-27.35,-42.13,122.39,1.84,4.95,5,22.139,,,,NaN,,,,0 / 0,146008,2018-08-11 08:40:52:946
-0.8519,-0.3123,9.8624,-0.8498,-0.3153,9.7647,0.0024,0.004,-0.0019,0.0003,-0.0005,-0.0005,30,-41.8,-27.66,-40.95,122.73,1.85,4.98,5,24.004,,,,NaN,,,,0 / 0,146507,2018-08-11 08:40:53:445
-0.8208,-0.3003,9.8683,-0.8503,-0.316,9.7646,-0.0106,0.0017,-0.0039,0.0003,0.0007,-0.0005,30,-40.73,-26.74,-42.71,122.37,1.85,4.98,5,24.193,,,,NaN,,,,0 / 0,147007,2018-08-11 08:40:53:945
-0.8662,-0.3242,9.8576,-0.8434,-0.3159,9.7652,0.0088,-0.0124,0.0045,0.0003,-0.0005,-0.0005,30,-40.17,-26.49,-40.64,122.07,1.84,4.94,5,22.864,,,,NaN,,,,0 / 0,147507,2018-08-11 08:40:54:445
-0.8614,-0.3254,9.854,-0.848,-0.3175,9.7648,-0.0046,0.0035,-0.0015,0.0003,0.0007,-0.0005,30,-40.21,-27.67,-41.26,123.93,1.86,4.96,5,23.949,,,,NaN,,,,0 / 0,148006,2018-08-11 08:40:54:944
-0.859,-0.3134,9.8396,-0.8454,-0.3177,9.765,-0.0025,-0.0006,-0.0086,-0.001,-0.0005,-0.0005,30,-40.76,-27.94,-42.14,123.31,1.85,4.95,5,22.969,,,,NaN,,,,0 / 0,148508,2018-08-11 08:40:55:446
-0.8566,-0.3242,9.8647,-0.8455,-0.3193,9.7649,0.0024,0.0006,0.0026,0.0003,0.0007,-0.0005,30,-41.11,-27.94,-42.14,123.32,1.87,4.95,5,21.909,,,,NaN,,,,0 / 0,149007,2018-08-11 08:40:55:945
-0.8638,-0.317,9.8504,-0.8489,-0.3195,9.7646,-0.0065,0.0055,-0.0088,0.0003,0.0007,-0.0005,30,-41.44,-27.37,-40.95,122.43,1.87,4.96,5,24.565,,,,NaN,,,,0 / 0,149506,2018-08-11 08:40:56:444
-0.8626,-0.3194,9.8456,-0.8495,-0.3196,9.7646,-0.0106,0.0032,-0.0073,0.0003,0.0007,-0.0005,30,-40.03,-27.04,-42.72,122.98,1.87,4.96,5,23.555,,,,NaN,,,,0 / 0,150006,2018-08-11 08:40:56:944
-0.8758,-0.335,9.8492,-0.852,-0.3196,9.7643,-0.0064,-0.0002,-0.012,0.0003,0.0007,-0.0005,30,-41.29,-27.94,-41.84,123.3,1.87,4.99,5,22.328,,,,NaN,,,,0 / 0,150507,2018-08-11 08:40:57:445
-0.871,-0.3194,9.8552,-0.8558,-0.317,9.7641,-0.0041,0.0019,-0.0024,-0.001,0.0007,-0.0005,30,-40.58,-27.95,-41.85,123.29,1.85,5,5,25.762,,,,NaN,,,,0 / 0,151006,2018-08-11 08:40:57:944
-0.8614,-0.3158,9.8588,-0.854,-0.3146,9.7643,0.0039,-0.0014,0.0072,0.0003,-0.0005,-0.0005,30,-40.2,-27.37,-41.25,122.99,1.84,5,5,24.221,,,,NaN,,,,0 / 0,151507,2018-08-11 08:40:58:445
-0.8746,-0.323,9.8408,-0.8537,-0.3185,9.7642,0.001,0.0045,-0.0099,0.0003,0.0007,-0.0005,30,-41.61,-27.38,-40.06,121.86,1.86,5,5,23.07,,,,NaN,,,,0 / 0,152006,2018-08-11 08:40:58:944
-0.877,-0.3314,9.8396,-0.8518,-0.3206,9.7643,0.0059,-0.0011,0.0031,0.0003,-0.0005,-0.0005,30,-41.1,-27.67,-40.95,123.33,1.87,4.99,5,24.356,,,,NaN,,,,0 / 0,152507,2018-08-11 08:40:59:445
-0.8698,-0.3266,9.8492,-0.8509,-0.3203,9.7644,-0.0052,-0.0035,-0.0012,0.0003,-0.0005,-0.0005,30,-40.56,-27.06,-41.83,122.4,1.87,4.98,5,21.435,,,,NaN,,,,0 / 0,153007,2018-08-11 08:40:59:945
-0.8662,-0.3194,9.854,-0.8489,-0.3186,9.7646,-0.0023,0.0081,-0.0024,0.0003,-0.0005,-0.0005,30,-40.92,-27.34,-42.43,122.4,1.86,4.97,5,21.096,,,,NaN,,,,0 / 0,153507,2018-08-11 08:41:00:445
-0.8578,-0.3254,9.8492,-0.8525,-0.3174,9.7644,-0.0035,-0.0011,-0.0025,0.0003,-0.0005,-0.0005,30,-40.18,-26.15,-42.41,122.04,1.85,4.99,5,20.88,,,,NaN,,,,0 / 0,154007,2018-08-11 08:41:00:945
-0.8459,-0.3182,9.8564,-0.8507,-0.3166,9.7645,-0.0001,0.0028,-0.0001,0.0003,0.0007,-0.0005,30,-40.39,-27.66,-41.55,123.9,1.85,4.98,5,21.622,,,,NaN,,,,0 / 0,154506,2018-08-11 08:41:01:444
-0.8483,-0.3314,9.8624,-0.8502,-0.3209,9.7645,0.0003,-0.0056,0.0042,0.0003,-0.0005,-0.0005,30,-40.74,-27.36,-41.54,122.4,1.87,4.98,5,22.923,,,,NaN,,,,0 / 0,155006,2018-08-11 08:41:01:944
-0.8554,-0.329,9.8636,-0.8483,-0.3195,9.7647,0.0069,0.0036,0.0132,0.0003,-0.0005,-0.0005,30,-40.39,-27.66,-41.55,123.91,1.87,4.98,5,22.281,,,,NaN,,,,0 / 0,155507,2018-08-11 08:41:02:445
-0.8554,-0.335,9.86,-0.8477,-0.3225,9.7646,0.0015,-0.0086,0.0023,0.0015,-0.0005,-0.0005,30,-40.37,-27.4,-39.77,123.05,1.88,4.96,5,24.921,,,,NaN,,,,0 / 0,156008,2018-08-11 08:41:02:946
-0.8459,-0.3063,9.8695,-0.8502,-0.3223,9.7644,0.002,0.0031,0.0114,0.0003,-0.0005,-0.0005,30,-41.95,-27.4,-38.88,121.89,1.89,4.98,5,25.677,,,,NaN,,,,0 / 0,156507,2018-08-11 08:41:03:445
-0.8614,-0.329,9.86,-0.8509,-0.3213,9.7644,-0.0037,-0.0035,-0.0011,0.0003,-0.0005,0.0007,30,-40.57,-27.68,-40.66,123.33,1.88,4.98,5,25.324,,,,NaN,,,,0 / 0,157007,2018-08-11 08:41:03:945
-0.8554,-0.3182,9.8516,-0.8486,-0.3218,9.7646,-0.0001,0.0052,-0.003,0.0003,0.0007,-0.0005,30,-40.93,-27.96,-41.26,123.34,1.88,4.96,5,23.805,,,,NaN,,,,0 / 0,157506,2018-08-11 08:41:04:444
-0.8566,-0.3194,9.8516,-0.8544,-0.3179,9.7642,-0.0082,-0.0124,-0.0037,0.0003,0.0007,-0.0005,30,-41.09,-27.38,-40.36,122.43,1.86,5,5,23.178,,,,NaN,,,,0 / 0,158006,2018-08-11 08:41:04:944
-0.865,-0.3218,9.8384,-0.8477,-0.3181,9.7648,-0.0054,-0.0031,0.0004,-0.001,0.0007,-0.0005,30,-41.26,-27.38,-40.06,122.44,1.86,4.96,5,24.86,,,,NaN,,,,0 / 0,158508,2018-08-11 08:41:05:446
-0.8471,-0.3314,9.8731,-0.8481,-0.3179,9.7647,-0.007,0.0022,-0.0121,-0.001,-0.0005,-0.0005,30,-40.56,-27.37,-41.25,122.42,1.86,4.95,5,24.414,,,,NaN,,,,0 / 0,159007,2018-08-11 08:41:05:945
-0.8638,-0.317,9.8408,-0.8513,-0.3208,9.7644,0.0025,0.0064,-0.0105,-0.001,-0.0005,-0.0005,30,-40.88,-26.79,-40.05,122.44,1.88,4.99,5,24.015,,,,NaN,,,,0 / 0,159507,2018-08-11 08:41:06:445
-0.8614,-0.3182,9.8516,-0.8442,-0.3233,9.7649,0.0128,-0.0101,0.0035,0.0003,-0.0005,-0.0005,30,-40.57,-27.35,-41.84,122.41,1.87,4.96,5,25.712,,,,NaN,,,,0 / 0,160008,2018-08-11 08:41:06:946
-0.8554,-0.3278,9.8719,-0.8492,-0.3205,9.7646,-0.0044,-0.0004,-0.0086,0.0003,0.0007,-0.0005,30,-40.4,-27.96,-41.55,123.91,1.87,4.97,5,25.905,,,,NaN,,,,0 / 0,160506,2018-08-11 08:41:07:444
-0.8638,-0.3182,9.8408,-0.8474,-0.3177,9.7648,-0.006,0.0055,-0.012,0.0003,-0.0005,-0.0005,30,-40.73,-27.05,-42.13,122.4,1.86,4.96,5,24.874,,,,NaN,,,,0 / 0,161006,2018-08-11 08:41:07:944
-0.8626,-0.3194,9.848,-0.85,-0.3186,9.7646,-0.0092,0.0017,0.0015,0.0003,-0.0005,-0.0005,30,-41.09,-27.37,-40.95,122.42,1.86,4.97,5,25.289,,,,NaN,,,,0 / 0,161508,2018-08-11 08:41:08:446
-0.8554,-0.3218,9.86,-0.8518,-0.3198,9.7644,0.0006,0.0003,-0.0015,0.0003,-0.0005,-0.0005,30,-40.38,-27.04,-42.72,122.97,1.87,4.99,5,23.389,,,,NaN,,,,0 / 0,162007,2018-08-11 08:41:08:945
-0.8614,-0.3398,9.8516,-0.8453,-0.3194,9.7649,0.0022,-0.0072,0.0072,0.0003,-0.0005,-0.0005,30,-40.03,-27.36,-40.07,123,1.86,4.95,5,23.585,,,,NaN,,,,0 / 0,162507,2018-08-11 08:41:09:445
-0.8662,-0.3254,9.8528,-0.8467,-0.3214,9.7647,-0.0084,0.0027,-0.0069,0.0003,-0.0005,-0.0005,30,-40.05,-27.65,-42.14,123.93,1.88,4.95,5,25.889,,,,NaN,,,,0 / 0,163007,2018-08-11 08:41:09:945
-0.8638,-0.3218,9.8707,-0.8495,-0.3171,9.7646,0.0058,-0.0002,0.0083,0.0003,-0.0005,0.0007,30,-40.91,-27.67,-40.66,123.32,1.85,4.98,5,26.007,,,,NaN,,,,0 / 0,163507,2018-08-11 08:41:10:445
-0.8531,-0.341,9.848,-0.8509,-0.3221,9.7644,-0.0006,-0.0098,-0.0094,0.0003,-0.0005,-0.0005,30,-40.41,-28.24,-42.15,123.91,1.88,4.98,5,26.968,,,,NaN,,,,0 / 0,164007,2018-08-11 08:41:10:945
-0.8399,-0.3278,9.866,-0.8504,-0.3214,9.7644,-0.0061,0.0014,0.0102,0.0003,-0.0005,-0.0005,30,-41.43,-27.07,-40.94,122.43,1.88,4.97,5,25.428,,,,NaN,,,,0 / 0,164507,2018-08-11 08:41:11:445
-0.8614,-0.3374,9.8624,-0.8447,-0.322,9.7649,-0.0154,0.0002,-0.0134,0.0003,0.0007,-0.0005,30,-40.55,-27.39,-40.07,122.46,1.88,4.94,5,22.385,,,,NaN,,,,0 / 0,165008,2018-08-11 08:41:11:946
-0.8542,-0.3147,9.8588,-0.8486,-0.3229,9.7645,-0.0043,0.0077,-0.0028,0.0003,-0.0005,-0.0005,30,-40.58,-27.64,-42.43,123.33,1.89,4.97,5,22.045,,,,NaN,,,,0 / 0,165507,2018-08-11 08:41:12:445
-0.8542,-0.3242,9.866,-0.8505,-0.3248,9.7643,-0.0013,-0.0029,0.0015,0.0003,-0.0005,-0.0005,30,-40.39,-27.97,-40.96,123.95,1.9,4.98,5,22.992,,,,NaN,,,,0 / 0,166007,2018-08-11 08:41:12:945
-0.8542,-0.3314,9.8683,-0.8491,-0.3229,9.7645,0.0003,0.0014,0.0098,0.0003,0.0007,-0.0005,30,-40.75,-27.64,-42.14,123.33,1.89,4.97,5,21.063,,,,NaN,,,,0 / 0,166507,2018-08-11 08:41:13:445
-0.8459,-0.3326,9.8624,-0.8545,-0.3218,9.7641,-0.007,0.0048,-0.0037,0.0003,-0.0005,0.0007,30,-41.09,-27.38,-40.36,122.44,1.88,5,5,23.681,,,,NaN,,,,0 / 0,167007,2018-08-11 08:41:13:945
-0.8674,-0.3338,9.8612,-0.853,-0.324,9.7641,0.0017,-0.0105,0.001,0.0003,0.0007,-0.0005,30,-41.27,-27.66,-41.25,123.33,1.89,4.99,5,22.998,,,,NaN,,,,0 / 0,167508,2018-08-11 08:41:14:446
-0.8638,-0.3134,9.8468,-0.8477,-0.3232,9.7646,0.0072,-0.0042,0.0044,0.0003,0.0007,-0.0005,30,-40.74,-27.35,-42.13,122.41,1.88,4.97,5,23.247,,,,NaN,,,,0 / 0,168007,2018-08-11 08:41:14:945
-0.859,-0.317,9.8588,-0.8507,-0.3197,9.7645,-0.0029,0.0046,0.0021,0.0003,-0.0005,-0.0005,30,-40.76,-27.94,-42.14,123.31,1.87,4.98,5,22.732,,,,NaN,,,,0 / 0,168506,2018-08-11 08:41:15:444
-0.8662,-0.3326,9.8564,-0.8526,-0.3207,9.7642,-0.0037,0.007,-0.0117,0.0003,-0.0005,-0.0005,30,-40.75,-27.66,-41.55,123.31,1.88,4.99,5,21.523,,,,NaN,,,,0 / 0,169007,2018-08-11 08:41:15:945
-0.8638,-0.3194,9.8468,-0.8489,-0.3216,9.7645,-0.0018,-0.0054,0.0027,-0.001,-0.0005,0.0007,30,-40.2,-27.06,-41.84,123,1.88,4.97,5,22.669,,,,NaN,,,,0 / 0,169507,2018-08-11 08:41:16:445
-0.865,-0.3206,9.8492,-0.8505,-0.3234,9.7643,-0.0004,-0.0007,-0.0047,0.0003,0.0007,0.0007,30,-40.37,-27.06,-41.54,123.01,1.89,4.98,5,24.742,,,,NaN,,,,0 / 0,170007,2018-08-11 08:41:16:945
-0.8507,-0.329,9.8588,-0.8492,-0.3207,9.7645,-0.0002,-0.0039,-0.0005,-0.001,0.0007,-0.0005,30,-40.57,-27.33,-43.02,122.38,1.87,4.97,5,25.937,,,,NaN,,,,0 / 0,170507,2018-08-11 08:41:17:445
-0.8674,-0.323,9.8552,-0.8506,-0.3219,9.7644,0.0002,0.0031,0.0031,-0.001,-0.0005,-0.0005,30,-40.92,-27.65,-41.84,123.31,1.88,4.98,5,23.086,,,,NaN,,,,0 / 0,171007,2018-08-11 08:41:17:945
-0.8531,-0.3362,9.8564,-0.8457,-0.3206,9.7649,0.0004,-0.0105,0.0007,0.0003,-0.0005,-0.0005,30,-40.57,-27.65,-41.84,123.32,1.87,4.95,5,23.056,,,,NaN,,,,0 / 0,171507,2018-08-11 08:41:18:445
-0.8614,-0.3314,9.854,-0.8514,-0.3236,9.7643,-0.0056,-0.0029,-0.0031,-0.001,0.0007,-0.0005,30,-40.74,-27.67,-40.96,123.34,1.89,4.98,5,24.605,,,,NaN,,,,0 / 0,172007,2018-08-11 08:41:18:945
-0.8638,-0.3182,9.8408,-0.8516,-0.323,9.7643,-0.0091,-0.0013,-0.0004,0.0003,-0.0005,-0.0005,30,-41.27,-27.68,-40.07,123.36,1.89,4.98,5,22.306,,,,NaN,,,,0 / 0,172506,2018-08-11 08:41:19:444
-0.883,-0.3302,9.8504,-0.8518,-0.3226,9.7643,-0.0212,-0.0052,-0.0067,0.0003,-0.0005,-0.0005,30,-40.9,-27.06,-41.24,122.43,1.88,4.97,5,23.871,,,,NaN,,,,0 / 0,173008,2018-08-11 08:41:19:946
-0.8638,-0.329,9.8576,-0.8515,-0.3206,9.7644,-0.011,-0.002,0.0012,0.0003,0.0007,-0.0005,30,-41.11,-27.96,-40.96,123.33,1.87,4.97,5,23.376,,,,NaN,,,,0 / 0,173507,2018-08-11 08:41:20:445
-0.859,-0.335,9.854,-0.849,-0.3197,9.7646,0.0009,-0.0011,0.0057,0.0003,-0.0005,-0.0005,30,-40.37,-27.08,-40.95,123.02,1.87,4.97,5,23.724,,,,NaN,,,,0 / 0,174007,2018-08-11 08:41:20:945
-0.8686,-0.323,9.8444,-0.8454,-0.3232,9.7648,0.0143,0.0023,0.004,0.0003,0.0007,0.0007,30,-41.98,-27.95,-41.25,122.76,1.89,4.97,5,21.907,,,,NaN,,,,0 / 0,174507,2018-08-11 08:41:21:445
-0.8758,-0.3266,9.8408,-0.8535,-0.3199,9.7642,-0.0112,-0.004,-0.0111,0.0003,-0.0005,-0.0005,30,-40.93,-28.26,-41.26,123.32,1.87,4.99,5,24.541,,,,NaN,,,,0 / 0,175006,2018-08-11 08:41:21:944
-0.8542,-0.3302,9.8588,-0.8485,-0.3253,9.7645,0.0045,0.0032,0.0027,0.0003,-0.0005,0.0007,30,-40.04,-27.34,-42.73,123,1.9,4.97,5,24.732,,,,NaN,,,,0 / 0,175506,2018-08-11 08:41:22:444
-0.8674,-0.3302,9.8492,-0.8482,-0.3256,9.7645,0.0002,0.0017,-0.002,-0.001,-0.0005,-0.0005,30,-40.2,-27.06,-41.84,123.02,1.9,4.96,5,22.109,,,,NaN,,,,0 / 0,176007,2018-08-11 08:41:22:945
-0.859,-0.3254,9.8588,-0.852,-0.3242,9.7642,0.0002,0.0038,0.0021,0.0003,0.0007,-0.0005,30,-39.86,-27.66,-41.85,123.92,1.9,4.99,5,22.936,,,,NaN,,,,0 / 0,176508,2018-08-11 08:41:23:446
-0.8698,-0.3218,9.8552,-0.8539,-0.3206,9.7641,-0.0041,0.0001,-0.0074,0.0003,0.0007,-0.0005,30,-40.23,-27.95,-41.85,123.91,1.87,4.98,5,24.558,,,,NaN,,,,0 / 0,177007,2018-08-11 08:41:23:945
-0.8758,-0.3302,9.8504,-0.8513,-0.3217,9.7643,-0.0029,0.0081,-0.0157,0.0003,0.0007,-0.0005,30,-40.21,-27.36,-41.84,123,1.89,4.98,5,23.266,,,,NaN,,,,0 / 0,177507,2018-08-11 08:41:24:445
-0.8531,-0.3374,9.8576,-0.8471,-0.3214,9.7647,0.0056,0.0041,0.0071,0.0003,-0.0005,-0.0005,30,-40.75,-27.66,-41.55,123.32,1.88,4.96,5,22.493,,,,NaN,,,,0 / 0,178006,2018-08-11 08:41:24:944
-0.8519,-0.3123,9.8636,-0.8449,-0.3232,9.7648,-0.0071,0.0003,0.0047,0.0003,-0.0005,-0.0005,30,-40.57,-27.35,-41.84,122.43,1.89,4.95,5,21.756,,,,NaN,,,,0 / 0,178506,2018-08-11 08:41:25:444
-0.8554,-0.3266,9.8719,-0.8522,-0.3195,9.7643,-0.0085,0.0079,-0.003,0.0003,-0.0005,-0.0005,30,-40.92,-27.65,-41.84,123.32,1.88,4.98,5,23.987,,,,NaN,,,,0 / 0,179007,2018-08-11 08:41:25:945
-0.8674,-0.3278,9.8492,-0.8534,-0.3206,9.7642,-0.0055,-0.0042,-0.0066,0.0003,-0.0005,-0.0005,30,-40.37,-26.75,-42.12,122.99,1.87,4.99,5,24.314,,,,NaN,,,,0 / 0,179507,2018-08-11 08:41:26:445
-0.8614,-0.3182,9.8612,-0.8497,-0.3239,9.7644,-0.0001,-0.0005,0.0077,0.0003,-0.0005,-0.0005,30,-41.26,-27.38,-40.06,122.46,1.89,4.98,5,22.776,,,,NaN,,,,0 / 0,180007,2018-08-11 08:41:26:945
-0.8674,-0.3314,9.8552,-0.8522,-0.3222,9.7642,-0.002,0.0016,0.0072,0.0003,-0.0005,-0.0005,30,-40.38,-27.36,-41.54,123,1.88,4.99,5,24.774,,,,NaN,,,,0 / 0,180506,2018-08-11 08:41:27:444
-0.8399,-0.323,9.8624,-0.852,-0.3214,9.7643,0.0148,-0.002,0.007,0.0003,-0.0005,-0.0005,30,-41.1,-27.34,-42.13,122.4,1.88,5,5,26.47,,,,NaN,,,,0 / 0,181007,2018-08-11 08:41:27:945
-0.865,-0.3362,9.8516,-0.8491,-0.323,9.7645,0.0154,0.0065,0.0032,0.0003,-0.0005,-0.0005,30,-40.9,-26.75,-41.83,122.41,1.89,4.97,5,25.496,,,,NaN,,,,0 / 0,181506,2018-08-11 08:41:28:444
-0.8782,-0.3206,9.8408,-0.852,-0.3218,9.7643,-0.0107,-0.0018,-0.0111,0.0003,-0.0005,-0.0005,30,-41.09,-27.38,-40.36,122.45,1.88,4.98,5,24.447,,,,NaN,,,,0 / 0,182007,2018-08-11 08:41:28:945
-0.8531,-0.3338,9.8576,-0.8521,-0.3212,9.7643,-0.0105,0.0048,-0.0072,-0.001,-0.0005,-0.0005,30,-40.71,-26.48,-40.93,121.5,1.88,4.97,5,24.945,,,,NaN,,,,0 / 0,182507,2018-08-11 08:41:29:445
-0.871,-0.3481,9.848,-0.8505,-0.3227,9.7644,-0.008,-0.0208,-0.003,0.0003,-0.0005,-0.0005,30,-40.91,-27.35,-41.84,122.4,1.87,4.97,5,23.411,,,,NaN,,,,0 / 0,183007,2018-08-11 08:41:29:945
-0.877,-0.3266,9.8552,-0.8524,-0.3259,9.7641,-0.0048,-0.0074,-0.0017,0.0003,-0.0005,0.0007,30,-40.91,-27.35,-41.84,122.41,1.9,4.99,5,22.566,,,,NaN,,,,0 / 0,183507,2018-08-11 08:41:30:445
-0.8519,-0.3362,9.854,-0.8561,-0.3244,9.7638,-0.0073,-0.0022,-0.0017,-0.001,-0.0005,-0.0005,30,-40.75,-27.64,-42.14,123.31,1.9,5.01,5,23.426,,,,NaN,,,,0 / 0,184006,2018-08-11 08:41:30:944
-0.8459,-0.3266,9.8588,-0.8544,-0.3256,9.7639,0.0051,0.0013,-0.0035,0.0003,0.0007,-0.0005,30,-41.8,-27.66,-40.95,122.76,1.9,5,5,22.696,,,,NaN,,,,0 / 0,184507,2018-08-11 08:41:31:445
-0.8602,-0.3218,9.8396,-0.8491,-0.325,9.7644,0.0051,0.0029,0.0051,0.0003,0.0007,-0.0005,30,-40.93,-27.95,-41.85,123.33,1.9,4.97,5,21.771,,,,NaN,,,,0 / 0,185007,2018-08-11 08:41:31:945
-0.877,-0.3182,9.848,-0.8536,-0.3209,9.7642,-0.0122,0.0037,-0.0013,-0.001,-0.0005,-0.0005,30,-40.93,-27.95,-41.85,123.31,1.88,4.99,5,23.586,,,,NaN,,,,0 / 0,185507,2018-08-11 08:41:32:445
-0.8423,-0.3302,9.8612,-0.8532,-0.3261,9.764,0.018,-0.0014,0.0056,0.0003,-0.0005,-0.0005,30,-40.56,-27.37,-41.25,122.44,1.91,4.99,5,26.724,,,,NaN,,,,0 / 0,186007,2018-08-11 08:41:32:945
-0.865,-0.3218,9.8492,-0.8507,-0.3283,9.7642,-0.0029,0.0054,0.0021,-0.001,-0.0005,-0.0005,30,-41.1,-27.67,-40.95,123.36,1.92,4.98,5,22.975,,,,NaN,,,,0 / 0,186508,2018-08-11 08:41:33:446
-0.8674,-0.3134,9.8552,-0.848,-0.3282,9.7644,-0.0001,-0.0011,0.0006,0.0003,-0.0005,-0.0005,30,-40.93,-27.95,-41.85,123.34,1.92,4.96,5,25.395,,,,NaN,,,,0 / 0,187006,2018-08-11 08:41:33:944
-0.8638,-0.323,9.854,-0.8551,-0.3236,9.7639,-0.0032,0.0029,-0.0081,-0.001,-0.0005,-0.0005,30,-40.39,-27.66,-41.55,123.91,1.89,5,5,25.325,,,,NaN,,,,0 / 0,187507,2018-08-11 08:41:34:445
-0.8722,-0.329,9.8444,-0.8531,-0.3254,9.7641,-0.0092,0.0015,-0.0003,-0.001,-0.0005,0.0007,30,-40.01,-26.79,-40.35,123.05,1.9,4.99,5,22.584,,,,NaN,,,,0 / 0,188006,2018-08-11 08:41:34:944
-0.8674,-0.3398,9.8492,-0.8554,-0.325,9.7639,-0.007,0.0013,-0.002,-0.001,0.0007,-0.0005,30,-40.74,-27.35,-42.13,122.41,1.9,5.01,5,28.462,,,,NaN,,,,0 / 0,188508,2018-08-11 08:41:35:446
-0.8471,-0.3386,9.8636,-0.8543,-0.3253,9.7639,0.0039,-0.008,0.003,-0.001,-0.0005,-0.0005,30,-40.37,-27.08,-40.95,123.02,1.89,5,5,27.91,,,,NaN,,,,0 / 0,189007,2018-08-11 08:41:35:945
-0.8411,-0.3087,9.8695,-0.849,-0.3256,9.7644,0.0085,-0.003,0.0045,0.0003,0.0007,-0.0005,30,-39.68,-27.34,-42.73,123,1.9,4.97,5,25.541,,,,NaN,,,,0 / 0,189506,2018-08-11 08:41:36:444
-0.8507,-0.3314,9.866,-0.8532,-0.3226,9.7641,-0.0072,0.0028,-0.0027,0.0003,0.0007,-0.0005,30,-41.07,-27.09,-39.76,122.45,1.89,4.98,5,23.586,,,,NaN,,,,0 / 0,190007,2018-08-11 08:41:36:945
-0.8734,-0.3326,9.848,-0.8506,-0.327,9.7642,0.0019,-0.0048,0.0044,0.0003,-0.0005,-0.0005,30,-40.7,-26.18,-40.93,121.52,1.91,4.98,5,23.228,,,,NaN,,,,0 / 0,190507,2018-08-11 08:41:37:445
-0.8674,-0.335,9.8576,-0.8566,-0.324,9.7638,-0.0002,0.0017,-0.001,0.0003,0.0007,-0.0005,30,-41.47,-28.56,-40.97,124.22,1.9,5.01,5,26.116,,,,NaN,,,,0 / 0,191006,2018-08-11 08:41:37:944
