ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.7908,-0.0766,9.8253,-0.7756,-0.0775,9.7756,-0.0042,-0.0004,-0.001,0.0027,-0.0018,0.0007,30,-40.87,-26.18,-40.63,120.8,0.46,4.54,5,26.557,,,,NaN,,,,0 / 0,10007,2018-08-11 08:38:36:945
-0.7777,-0.0861,9.8181,-0.7764,-0.078,9.7756,-0.0092,-0.0066,-0.0024,0.0015,-0.0005,0.0007,30,-41.75,-25.87,-40.92,120.24,0.46,4.54,5,25.209,,,,NaN,,,,0 / 0,10506,2018-08-11 08:38:37:444
-0.7777,-0.0766,9.8229,-0.7753,-0.0806,9.7756,0.0022,0.0039,-0.0065,0.0015,-0.0005,-0.0005,30,-41.59,-26.8,-39.46,121.27,0.48,4.54,5,25.126,,,,NaN,,,,0 / 0,11006,2018-08-11 08:38:37:944
-0.7645,-0.0897,9.8372,-0.7741,-0.0821,9.7757,-0.0116,-0.002,-0.0062,0.0003,-0.0005,0.0007,30,-40.87,-25.85,-42.4,120.78,0.48,4.52,5,23.21,,,,NaN,,,,0 / 0,11506,2018-08-11 08:38:38:444
-0.7609,-0.0849,9.8193,-0.7756,-0.0807,9.7756,0.0098,0.0006,-0.0028,0.0027,-0.0005,-0.0005,30,-41.57,-25.89,-40.03,120.29,0.48,4.54,5,22.514,,,,NaN,,,,0 / 0,12006,2018-08-11 08:38:38:944
-0.7693,-0.0682,9.8492,-0.7752,-0.0826,9.7756,-0.0059,-0.0035,-0.0013,0.0015,-0.0005,-0.0005,30,-42.12,-26.48,-40.34,120.3,0.49,4.53,5,24.537,,,,NaN,,,,0 / 0,12506,2018-08-11 08:38:39:444
-0.7849,-0.0861,9.8372,-0.7751,-0.0795,9.7756,-0.004,-0.0068,0.0046,0.0027,-0.0005,0.0007,30,-41.59,-26.49,-40.04,120.28,0.47,4.53,5,23.032,,,,NaN,,,,0 / 0,13006,2018-08-11 08:38:39:944
-0.7801,-0.0885,9.842,-0.7731,-0.0767,9.7758,-0.0057,0.0015,0.0124,0.0003,-0.0005,0.0007,30,-40.88,-26.47,-41.23,120.8,0.45,4.52,5,25.252,,,,NaN,,,,0 / 0,13507,2018-08-11 08:38:40:445
-0.7825,-0.0849,9.8121,-0.7701,-0.0756,9.7761,-0.0051,-0.0023,-0.0056,0.0003,0.0007,0.0007,30,-43.15,-26.19,-39.14,119.77,0.44,4.5,5,25.246,,,,NaN,,,,0 / 0,14007,2018-08-11 08:38:40:945
-0.7765,-0.0861,9.8265,-0.7748,-0.0799,9.7757,-0.0002,-0.0053,-0.0061,0.0003,-0.0005,0.0007,30,-41.59,-26.49,-40.04,120.28,0.46,4.53,5,22.711,,,,NaN,,,,0 / 0,14507,2018-08-11 08:38:41:445
-0.7777,-0.0742,9.8301,-0.7677,-0.0785,9.7762,0.0167,-0.0042,0.012,0.0015,-0.0005,0.0007,30,-42.67,-27.08,-40.05,120.68,0.46,4.49,5,23.251,,,,NaN,,,,0 / 0,15007,2018-08-11 08:38:41:945
-0.7861,-0.0742,9.8336,-0.7695,-0.082,9.7761,0.0136,0.0027,0.0098,0.0015,0.0007,0.0007,30,-41.94,-26.79,-39.46,121.28,0.48,4.51,5,21.353,,,,NaN,,,,0 / 0,15506,2018-08-11 08:38:42:444
